Events
200
Subject	Context	Name	Time (s)	Description
Ref01_FB	Left	Foot Off	3.51	The instant the toe leaves the ground
Ref01_FB	Left	Foot Strike	3.92	The instant the heel strikes the ground
Ref01_FB	Left	Foot Off	4.579	The instant the toe leaves the ground
Ref01_FB	Left	Foot Strike	4.945	The instant the heel strikes the ground
Ref01_FB	Right	Foot Strike	3.375	The instant the heel strikes the ground
Ref01_FB	Right	Foot Off	4.045	The instant the toe leaves the ground
Ref01_FB	Right	Foot Strike	4.455	The instant the heel strikes the ground

Devices
1000
		FP1_AMTI10919M - Force			FP1_AMTI10919M - Moment			FP1_AMTI10919M - CoP			FP2_AMTI10974M - Force			FP2_AMTI10974M - Moment			FP2_AMTI10974M - CoP			FP3_AMTI10975M - Force			FP3_AMTI10975M - Moment			FP3_AMTI10975M - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
672	0	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
672	1	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
672	2	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
672	3	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
672	4	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
673	0	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
673	1	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
673	2	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
673	3	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
673	4	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
674	0	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
674	1	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
674	2	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
674	3	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
674	4	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
675	0	0	-0	0	0	-0	0	-160.408	4470.76	50.0776	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
