Events
200
Subject	Context	Name	Time (s)	Description
Ref_01_FB	Left	Foot Off	2.67	The instant the toe leaves the ground
Ref_01_FB	Left	Foot Strike	3.066	The instant the heel strikes the ground
Ref_01_FB	Left	Foot Off	3.737	The instant the toe leaves the ground
Ref_01_FB	Left	Foot Strike	4.13	The instant the heel strikes the ground
Ref_01_FB	Right	Foot Strike	2.534	The instant the heel strikes the ground
Ref_01_FB	Right	Foot Off	3.202	The instant the toe leaves the ground
Ref_01_FB	Right	Foot Strike	3.606	The instant the heel strikes the ground

Devices
1000
		FP1_AMTI10919M - Force			FP1_AMTI10919M - Moment			FP1_AMTI10919M - CoP			FP2_AMTI10974M - Force			FP2_AMTI10974M - Moment			FP2_AMTI10974M - CoP			FP3_AMTI10975M - Force			FP3_AMTI10975M - Moment			FP3_AMTI10975M - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
468	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
468	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
468	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
468	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
468	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
469	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
469	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
469	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
469	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
469	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
470	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
470	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
470	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
470	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
470	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
471	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
471	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
471	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
471	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
471	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
472	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
472	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
472	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
472	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
472	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
473	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
473	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
473	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
473	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
473	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
474	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
474	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
474	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
474	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
474	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
475	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
475	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
475	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
475	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
475	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
